A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
1.9338927823818883e-08,3.3507815943208185e-06,3.288360023942606e-06,1.6206456458621392e-07,3.0821866817130397e-07,8.264093719547136e-07,6.547154371245505e-07,6.632868200973081e-07,2.6639908447208504e-08,5.287061819512631e-07,5.136384783219576e-07,1.6534082315336966e-06,1.3353129500524757e-06,7.319595404566683e-07,4.1169600462550834e-07,2.287221048139535e-07,825561.7982077575
1.997150901003275e-07,7.100492702484947e-07,1.9883057230025193e-06,2.677951987588102e-07,2.1551778363197437e-06,2.237106986698294e-06,1.4450404815705401e-06,8.545649906689919e-07,1.9278633267790938e-08,1.100184690145922e-06,9.125571799836937e-07,2.2740253146023403e-06,1.2385839274960527e-06,1.5104786427290093e-06,7.240257223809246e-07,1.7835730623276326e-07,825566.5714585723
1.0875130581009027e-07,1.0590450676185156e-06,1.83411004962758e-06,5.129868151916332e-06,1.2145332524721725e-06,4.308042583046456e-06,2.2533313532027176e-06,1.2903115995800946e-07,4.302987948949153e-08,3.497815107148871e-06,2.6941319784056372e-06,3.195726949351776e-06,1.7679965648524655e-06,4.55468988381316e-06,2.927201015138427e-06,2.9164039119272495e-07,825571.323375187
5.925593956031652e-08,2.262243823778836e-06,1.1014128754384081e-06,6.102917089621727e-06,1.5297841629256356e-06,1.534783126089077e-05,3.881933351968238e-06,6.331686542274076e-07,2.2665131871789143e-08,2.5881511434879964e-06,5.016418204948378e-06,4.105545020185747e-06,3.3326660471595154e-06,4.740059809504429e-06,3.1221392099270026e-06,2.885512602794851e-07,825576.0819477016
5.183489424971418e-08,2.376515493225393e-06,9.92634491448242e-07,4.090265784863975e-07,1.3098586901474555e-06,7.871224704322925e-07,4.387654054030384e-07,6.201778306357284e-07,1.3771667760561604e-08,5.786586086533382e-07,9.288460372799958e-07,4.192512193964496e-06,1.3271768956522462e-06,9.452348640335652e-07,5.296991653817554e-07,1.1367845592018236e-07,825580.8254843163
2.215046676799447e-07,1.7222506123835602e-06,3.5505147278805444e-06,1.5983278328330558e-06,5.536517160279966e-07,2.6763178792046934e-06,1.3503297008960782e-06,4.3841462707326085e-07,3.122709323554939e-08,2.1789703399640496e-06,1.7677333885236866e-06,2.3922047430931928e-06,2.878658182719303e-06,2.303617833504899e-06,1.5434275116484536e-06,1.8803439827866602e-07,825585.5460416309
1.2670270474371195e-07,6.159565721511397e-07,1.5834524912213779e-06,2.612447674478358e-06,3.0514592717611354e-06,3.1177720660172195e-06,1.0297161124898443e-06,6.040205228993781e-07,2.050897241891106e-08,2.590074210806339e-06,8.244327316212214e-06,3.6240153894336044e-06,3.591247900454474e-06,6.08592489672235e-06,2.99459432773882e-06,2.0092054856073433e-07,825590.2795078455
6.641980648762904e-08,1.4015196771496728e-06,1.5726761752089625e-06,1.4871629697554942e-05,2.276828642778444e-06,3.5997413036366563e-06,3.2912617565396658e-06,5.409198237444393e-07,2.2131307406667132e-08,4.486396476759452e-06,1.3183394220134322e-05,3.3180398517665687e-06,4.211624576312047e-06,7.323345642498209e-06,1.6744524226299755e-06,3.2224144232009046e-07,825595.0065331601
1.2742257301982134e-07,3.1192567291490668e-06,1.1041840940004132e-06,7.996806425210503e-06,1.6654361912950085e-06,7.415919169778259e-06,1.667001318544789e-06,1.0857579300543066e-06,5.0214039384367046e-08,2.578225727776648e-06,9.486310878866222e-06,2.584749327946283e-06,3.945693843496969e-06,3.628556699368562e-06,1.7848478760844556e-06,3.127364237920319e-07,825599.7301068746
3.7041354093414884e-08,9.990103727718713e-07,1.0989451821845858e-06,2.1233130313591437e-06,6.819119325989229e-07,5.738122480362241e-07,9.120057775571088e-07,2.0101582264934485e-07,4.7868835388848143e-08,1.1303908383984784e-06,2.7469870461910245e-06,3.7255886821961705e-06,3.927619045250316e-06,1.3432068691808427e-06,1.2196999413896807e-06,3.220170365264363e-07,825604.4516379891
1.1230692860857092e-07,2.870466967065868e-06,1.7777158526580413e-06,4.306088437764787e-06,8.069872667657263e-07,2.252280215789347e-06,5.309837308646626e-06,5.832521858075172e-07,1.5393240074079068e-08,9.361911249491184e-07,2.67564430990489e-06,2.579577653409421e-06,2.767688828549451e-06,1.293582803813186e-05,3.195963205636026e-06,1.7436767685192303e-07,825609.1855806039
3.383399526552711e-08,3.868818177810127e-07,2.988641124677112e-06,7.050051840597468e-07,6.815311228065373e-07,3.7207616859439596e-06,5.266040904247235e-07,1.3256970939412071e-06,2.47608010470129e-08,1.096160800883538e-06,2.569745295445379e-06,9.927278527947338e-07,2.1106442267668324e-06,1.4429094816363362e-06,1.0275486256167226e-06,1.984860157508698e-07,825613.9061594184
1.1943068497646318e-07,1.0073488332648533e-06,2.2527672377776926e-06,5.233540777066442e-06,8.612610419937427e-07,6.92661047859877e-06,1.8852966223113098e-06,3.289118275179769e-07,1.9278567294593163e-08,2.8386385905473186e-06,8.031831459163148e-06,3.814153656570335e-06,1.6872367753233987e-06,4.550885213381309e-06,9.155996847118912e-07,1.7153405204303614e-07,825618.620323633
1.0963056593984345e-07,9.222576267113473e-06,2.1664694963675816e-06,1.0869333531040016e-05,4.568848487134911e-06,1.5415818812311662e-05,2.358101026624605e-06,9.935662527607627e-07,3.40120758175248e-08,5.085779968024165e-06,7.005234794120451e-06,1.9886883466807112e-06,3.7678868205994757e-06,6.438070082547318e-06,1.988180549481112e-06,1.71619148204665e-07,825623.3584238476
1.1605530834440542e-07,9.64006168490197e-07,6.999116288797521e-06,1.761335641358291e-06,2.224453331342595e-06,1.0209574037054093e-06,4.7628656996333574e-07,1.238844739102593e-06,2.373478017146075e-08,1.5341863302115548e-06,7.03085257359248e-07,6.096227699756757e-06,1.25082185381457e-06,1.138724222253823e-06,8.394115402708421e-07,1.0855931871376543e-07,825628.0625930621
